Continent,AREA1,AREA2,COUNTRY,ID_Lloyds,Name_Lloyds,X1,Y1,Type_Analysis,Analysis1,Analysis2,Analysis3,Analysis4,Analysis5,Analysis6
North America,USG,USG,USA,10170,12 Mile Anch.,-89.261,29.179,3,,,Flow_Grid,,,
North America,USG,USG,USA,10171,9 Mile Anch.,-89.911,29.9,3,,,Flow_Grid,,,
Europe,SCN,SCN,DNK,3486,Aabenraa,9.425,55.044,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,5779,Aagotnes,5.017,60.4,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,4495,Aaheim,5.531,62.036,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,5121,Aakra,6.1,59.783,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,4551,Aakrehamn,5.167,59.25,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,DNK,2762,Aalborg,9.937,57.047,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,3713,Aalefjaer,8.033,58.233,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,3649,Aalesund,6.155,62.475,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,NEU,NEU,NLD,8864,Aalsmeer,4.759,52.261,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,NEU,NEU,NLD,8766,Aalst,5.126,51.782,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,4253,Aalvik,6.4,60.433,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,4427,Aandalsnes,7.687,62.568,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,GRL,7873,Aappilattoq,-44.283,60.167,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,3707,Aardal,7.683,61.233,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,947,Aardalstangen,7.7,61.233,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,DNK,2823,Aarhus,10.219,56.146,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,DNK,3580,Aarosund,9.717,55.267,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,8112,Aasgard Field,8.751,64.746,4,,,,Exclude,,
Europe,SCN,SCN,GRL,102,Aasiaat,-52.883,68.717,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,ARA,ARA,IRN,3745,Abadan,48.282,30.33,1,Shipping_Network,Country_Continent,Flow_Grid,,,
East Asia,JPN,CHI,JPN,4509,Abashiri,144.283,44.017,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,NEU,NEU,DEU,8069,Abbenfleth,9.5,53.683,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,NEU,NEU,FRA,5487,Abbeville,1.85,50.1,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Oceania,AUS,AUS,AUS,153,Abbot Point,148.078,-19.885,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Oceania,AUS,AUS,AUS,10143,Abbot Point Anch.,148.061,-19.798,3,,,Flow_Grid,,,
Europe,SCN,SCN,NOR,5667,Abelsnes,6.65,58.233,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,4271,Abelvaer,11.167,64.733,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,NEU,NEU,FRA,10289,Aber Wrac'h,-4.562,48.597,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,UKE,NEU,GBR,1012,Aberdeen(GBR),-2.067,57.15,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,UKE,NEU,GBR,453,Aberdovey,-4.05,52.533,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,UKE,NEU,GBR,1130,Aberlady Bay,-2.85,56.017,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,UKE,NEU,GBR,6044,Aberystwyth,-4.1,52.4,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,WAF,WAF,CIV,2992,Abidjan,-4,5.3,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,WAF,WAF,CIV,10253,Abidjan Anch.,-4.044,5.218,3,,,Flow_Grid,,,
North America,CAM,CAM,MEX,869,Abkatun Terminal,-92.517,19.483,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,WAF,WAF,NGA,8745,Abo Terminal,4.485,5.711,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,WAF,WAF,GHA,10401,Aboadze Terminal,-1.571,4.942,1,Shipping_Network,Country_Continent,Flow_Grid,,,
East Asia,JPN,CHI,JPN,4762,Aboshi,134.6,34.767,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,ARA,ARA,ARE,3866,Abu al Bukhoosh Terminal,53.133,25.483,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,ARA,ARA,ARE,4402,Abu Dhabi,54.366,24.482,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,ARA,ARA,IRQ,5122,Abu Fulus,48.033,30.45,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,RED,RED,EGY,6161,Abu Ghosoun,35.183,24.433,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,NAF,NAF,LBY,3684,Abu Kammash,11.817,33.067,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,NAF,NAF,EGY,6046,Abu Kir,30.063,31.319,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,NAF,NAF,EGY,4468,Abu Kir Bay,30.167,31.3,3,,,Flow_Grid,,,
West Asia,ARA,ARA,IRN,855,Abu Musa,55.033,25.867,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,RED,RED,EGY,354,Abu Rudeis,33.167,28.9,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,RED,RED,EGY,129,Abu Sultan,32.3,30.417,1,Shipping_Network,Country_Continent,Flow_Grid,,,
East Asia,SEA,SEA,MYS,9792,Abu Terminal,105.283,6.133,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,RED,RED,EGY,4401,Abu Zenima,33.117,29.033,1,Shipping_Network,Country_Continent,Flow_Grid,,,
East Asia,JPN,CHI,JPN,2261,Aburatsu,131.4,31.567,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Latin America,CAM,CAM,SLV,5956,Acajutla,-89.833,13.6,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Latin America,SAA,SAA,COL,8250,Acandi,-77.333,8.533,1,Shipping_Network,Country_Continent,Flow_Grid,,,
North America,CAM,CAM,MEX,487,Acapulco,-99.917,16.833,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SEU,SEU,ITA,9544,Acciaroli,15.017,40.167,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,IND,IND,IND,357,Achipur,88.133,22.467,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SEU,SEU,GRC,3265,Achladi,22.817,38.883,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,UKE,NEU,GBR,4682,Acton Grange,-2.633,53.367,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Latin America,SAA,SAA,BRA,10385,Acu,-41.013,-21.821,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,RED,RED,EGY,2366,Adabiya,32.467,29.867,1,Shipping_Network,Country_Continent,Flow_Grid,,,
North America,USP,USP,USA,2034,Adak,-176.65,51.85,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,EMD,EMD,TUR,10748,Adana,35.331,36.992,1,Shipping_Network,Country_Continent,Flow_Grid,,,
East Asia,SEA,SEA,IDN,10508,Adang Bay Anch.,116.644,-1.708,3,,,Flow_Grid,,,
Africa,RED,RED,ETH,9633,Addis Ababa,38.758,8.982,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Oceania,AUS,AUS,AUS,3110,Adelaide,138.567,-34.85,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Oceania,AUS,AUS,AUS,10266,Adelaide Anch.,138.315,-34.834,3,,,Flow_Grid,,,
West Asia,RED,ARA,YEM,1952,Aden,44.967,12.8,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SEU,SEU,GRC,8988,Adhamas,24.45,36.717,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Oceania,AUS,AUS,PNG,6195,Admiralty Is.,-134.487,57.697,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SEU,SEU,ITA,7611,Adria,12.067,45.05,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SEU,SEU,,4365,Adriatic,,,2,,Country_Continent,,,,
Europe,SCN,SCN,SJM,5835,Advent Bay,15.583,78.25,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SEU,SEU,GRC,3749,Aegean,,,2,,Country_Continent,,,,
Europe,SEU,SEU,GRC,5195,Aegina,23.427,37.747,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SEU,SEU,GRC,4280,Aegion,22.1,38.25,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,SWE,4930,Aelvenaes,13.183,59.367,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SEU,SEU,ITA,9496,Aeolian Is.,,,2,,Country_Continent,,,,
Europe,SCN,SCN,DNK,2530,Aeroskobing,10.417,54.883,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,9843,Afarnes,7.512,62.653,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,WAF,WAF,NGA,6497,Afia Terminal,7.75,4,1,Shipping_Network,Country_Continent,Flow_Grid,,,
North America,USP,USP,USA,3655,Afognak,-152.833,58,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,NAF,NAF,,5818,Africa,,,2,,Country_Continent,,,,
Latin America,SAA,SAA,BRA,2050,Afua,-50.367,-0.167,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,NAF,NAF,MAR,3010,Agadir,-9.632,30.43,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Oceania,AUS,AUS,GUM,9511,Agana,144.751,13.471,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,WAF,WAF,NGA,9910,Agbami Terminal,5.567,3.467,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,DNK,1459,Aggersund,9.283,57.017,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SEU,SEU,GRC,5156,Aghios Konstantinos,22.867,38.75,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,BLK,BLK,ROM,6213,Agigea,28.617,44.083,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SEU,SEU,GRC,3109,Agioi Theodoroi,23.086,37.918,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,NOR,1016,Agnefest,7.05,58.117,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,SWE,982,Agnesberg,12,57.783,1,Shipping_Network,Country_Continent,Flow_Grid,,,
East Asia,CHI,CHI,RUS,5198,Agnevo,142.067,50.517,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SEU,SEU,ITA,8689,Agropoli,14.967,40.333,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Latin America,CAR,CAR,PRI,1473,Aguadilla,-67.167,18.367,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Latin America,CAM,CAM,PAN,1476,Aguadulce,-80.5,8.233,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SEU,SEU,ESP,2161,Aguilas,-1.567,37.4,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Latin America,CAR,CAR,PRI,3535,Aguirre,-66.217,17.95,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,SWE,1661,Ahus,14.317,55.933,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,ARA,ARA,IRN,3806,Ahvaz,48.671,31.318,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,RED,RED,EGY,4215,Ain Sukhna Terminal,32.333,29.583,1,Shipping_Network,Country_Continent,Flow_Grid,,,
East Asia,JPN,CHI,JPN,2985,Ainoura,129.65,33.183,1,Shipping_Network,Country_Continent,Flow_Grid,,,
East Asia,JPN,CHI,JPN,1972,Aioi,134.467,34.767,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Oceania,AUS,AUS,AUS,9973,Airlie Beach,148.717,-20.267,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Oceania,AUS,AUS,AUS,6192,Airlie Island Terminal,115.167,-21.317,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Oceania,AUS,AUS,COK,3905,Aitutaki Is.,-159.784,-18.859,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SEU,SEU,FRA,3084,Ajaccio,8.733,41.917,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,WAF,WAF,NGA,10735,Aje Field,2.939,6.189,4,,,,Exclude,,
Africa,NAF,NAF,TUN,8603,Ajim,10.733,33.717,1,Shipping_Network,Country_Continent,Flow_Grid,,,
East Asia,JPN,CHI,JPN,3720,Ajisu,131.367,34,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,ARA,ARA,ARE,5014,Ajman,55.452,25.421,1,Shipping_Network,Country_Continent,Flow_Grid,,,
East Asia,JPN,CHI,JPN,7715,Akashi,135,34.65,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,WAF,WAF,NIG,10082,Akassa,6.067,4.317,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,BLK,BLK,TUR,8623,Akcaabat,39.55,41,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,EMD,EMD,TUR,10397,Akcansa,26.158,39.879,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,EMD,EMD,TUR,4182,Akcay,26.9,39.583,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,NEU,NEU,DEU,9432,Aken,12.033,51.85,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,BLK,BLK,RUS,3896,Akhtubinsk,46.167,48.333,1,Shipping_Network,Country_Continent,Flow_Grid,,,
East Asia,JPN,CHI,JPN,5345,Akita,140.067,39.75,1,Shipping_Network,Country_Continent,Flow_Grid,,,
East Asia,JPN,CHI,JPN,2986,Akitsu,132.817,34.317,1,Shipping_Network,Country_Continent,Flow_Grid,,,
East Asia,JPN,CHI,JPN,3397,Akkeshi,144.85,43.05,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,EMD,EMD,ISR,7806,Akko,35.067,32.917,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,NEU,NEU,NLD,6078,Akkrum,5.833,53.05,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,WAF,WAF,NGA,10007,Akpo Field,6.951,2.963,4,,,,Exclude,,
Africa,WAF,WAF,NGA,10650,Akpo Terminal,6.823,3.14,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,ISL,1671,Akranes,-22.083,64.317,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,EMD,EMD,CYP,5628,Akrotiri,33.033,34.567,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,BLK,BLK,KAZ,6511,Aktau,51.209,43.627,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,GRL,9812,Akunnaaq,-52.333,68.733,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,ISL,2548,Akureyri,-18.095,65.688,1,Shipping_Network,Country_Continent,Flow_Grid,,,
North America,USP,USP,USA,4539,Akutan,-165.773,54.136,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,ARA,ARA,IRQ,10184,Al Basra Anch.,48.943,29.462,3,,,Flow_Grid,,,
West Asia,ARA,ARA,IRQ,5343,Al Basra Terminal,48.811,29.677,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,NAF,NAF,MAR,3656,Al Hoceima,-3.9,35.25,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,ARA,ARA,ARE,9855,Al Jazeera,55.801,25.715,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,ARA,ARA,SAU,2898,Al Khobar,50.206,26.275,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,ARA,ARA,QAT,8836,Al Rayyan Terminal,51.55,26.65,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,ARA,ARA,QAT,7676,Al Shaheen Terminal,51.967,26.583,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,RED,ARA,SAU,2356,Al Wajh,36.45,26.217,1,Shipping_Network,Country_Continent,Flow_Grid,,,
North America,USG,USG,USA,3701,Alabama,,,2,,Country_Continent,,,,
North America,USG,USG,USA,9524,Alachua,-82.483,29.783,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Africa,WAF,WAF,NGA,5064,Aladja,6.167,5.317,1,Shipping_Network,Country_Continent,Flow_Grid,,,
West Asia,BLK,BLK,TKM,10628,Alaja,53.211,39.354,1,Shipping_Network,Country_Continent,Flow_Grid,,,
North America,USP,USP,USA,8190,Alameda,-122.317,37.767,1,Shipping_Network,Country_Continent,Flow_Grid,,,
Europe,SCN,SCN,ALD,7856,Aland Islands,,,2,,Country_Continent,,,,
West Asia,IND,IND,IND,5821,Alang,72.15,21.4,1,Shipping_Network,Country_Continent,Flow_Grid,,,
